section,section_label,order,item,price
regular_round,Regular Pricing Round,1,Keurig Coffee Variety Pack,55
regular_round,Regular Pricing Round,2,GE Microwave,135
regular_round,Regular Pricing Round,3,Uline Commercial Stapler,115
regular_round,Regular Pricing Round,4,Flavia Creation 600 Coffee Machine,2150
regular_round,Regular Pricing Round,5,Game Room Arcade Machine,3299
tiebreaker,Tiebreaker Item,1,Foosball Table,499
showcase_1,Showcase 1: Ultimate Tech Upgrade,1,Dell Pro 16 Plus Laptop,1345
showcase_1,Showcase 1: Ultimate Tech Upgrade,2,ViewSonic 24 inch Monitor,160
showcase_1,Showcase 1: Ultimate Tech Upgrade,3,Logitech Keyboard and Mouse,65
showcase_1,Showcase 1: Ultimate Tech Upgrade,4,Dell Docking Station,199
showcase_1,Showcase 1: Ultimate Tech Upgrade,5,Noise Canceling Headphones - AirPods Max 2,550
showcase_2,Showcase 2: Office Comfort & Wellness,1,Hexy SitOnIt Office Chair,265
showcase_2,Showcase 2: Office Comfort & Wellness,2,Standing Desk,860
showcase_2,Showcase 2: Office Comfort & Wellness,3,Uline Water Cooler,360
showcase_2,Showcase 2: Office Comfort & Wellness,4,Mini Fridge,395
showcase_2,Showcase 2: Office Comfort & Wellness,5,Walking Pad Treadmill,170